arabic,arabic_romanization,hebrew,hebrew_romanization,pansemitic,meaning
آتَى,ʔātā,נָאוֹת,na'ót,ʔata,to agree with
آدَم,ʔādam,אָדָם,adám,ʔadami,man
آدَم,ʔādam,דָּם,dam,dam,human
آشُور,ʔāšūr,אַשּׁוּר,ashúr,ʔašur,"Assyria (an ancient Semitic Akkadian kingdom and at times an empire, extant from the mid-23rd century BCE to 608 BCE and centred on the Upper Tigris river in northern Mesopotamia (present day northern Iraq, but at its maximum extent including parts of modern Iran, Syria, Israel, Palestine and Egypt))"
آمَنَ,ʔāmana,הֶאֱמִין,he'emín,ʔamana,to believe
آمُون,ʔāmūn,אָמוֹן,amon,yamanuw,Amun
آيَة,ʔāya,אוֹת,ot,ʔawayat,"sign, token"
أَب,ʔab,אַבָּא,ába,ʔabw,father
أَب,ʔab,אָב,áv,ʔabw,"ancestor, forefather"
أَبُو ظَبْي,ʔabū ẓaby,אַבּוּ דַאבִּי,abu dábi,ʔabu ṣaby,"Abu Dhabi (the capital city of the United Arab Emirates; the capital of Abu Dhabi Emirate, United Arab Emirates)"
أَبْرِيل,ʔabrīl,אַפְּרִיל,apríl,ʔaprilis,April (fourth month of the Gregorian calendar)
أَبْنُوس,ʔabnūs,הׇבְנֶה,hovné,hibni,ebony (Diospyros ebenum tree and wood)
أَتَان,ʔatān,אָתוֹן,atón,ʔatan,"she-ass, female donkey, jenny"
أَثْل,ʔaṯl,אֵשֶׁל,éshel,ʔasil,"tamarisk (Tamarix spp., particularly Tamarix aphylla)"
أَحَد,ʔaḥad,אֶחָד,ekhád,ʔaxad,one
أَحَد,ʔaḥad,חַד,khad-,ʔaxad,one
أَحْلَى,ʔaḥlā,אַחְלָה,ákhla,ʔaxla,better; best
أَحْيَا,ʔaḥyā,הֶחֱיָה,hekheyá,ʔaxiya,"to restore to life, to revive; to restore, to reinstitute"
أَخ,ʔaḵ,אָח,ákh,ʔaxw,brother
أَخ,ʔaḵ,אָחִי,akhí,ʔaxi,brother
أَخَذَ,ʔaḵaḏa,אָחַז,akház,ʔaxaza,"to seize, to grab, to take hold"
أَذَرْبَيْجَان,ʔaḏarbayjān,אָזֶרְבַּיְגָ׳ן,azerbayján,ʔazarbayjan,[from 20th c.] Azerbaijan (a country in the South Caucasus in Asia and Europe)
أَذْكَرَ,ʔaḏkara,הִזְכִּיר,hizkír,ʔazkara,"to remind, to call to mind"
أَرَم,ʔaram,אֲרַם,arám,ʔaram,Aram (a Biblical region located in modern Syria)
أَرَى,ʔarā,הֶרְאָה,her'á,ʔara,to show
أَرِسْطَاطَالِيس,ʔarisṭāṭālīs,אֲרִיסְטוֹ,arísto,ʔaristatilis,Aristotle
أَرِسْطُو,ʔarisṭū,אֲרִיסְטוֹ,arísto,ʔarisṭu,Aristotle
أَرِيزُونَا,ʔarīzūnā,אָרִיזוֹנָה,arizóna,ʔarizauna,"Arizona (a state in the southwestern United States, established 1912)"
أَرْبَعَة,ʔarbaʕa,אַרְבָּעָה,arba'á,ʔarbaʕ,four
أَرْخَبِيل,ʔarḵabīl,אַרְכִיפֶּלָג,arkhipélag,ʔaršipilaga,archipelago
أَرْز,ʔarz,אֶרֶז,érez,ʔariz,cedar (Cedrus gen. et spp.)
أَرْض,ʔarḍ,אֶרֶץ,érets,ʔarṣ,"country, land"
أَرْمَلَة,ʔarmala,אַלְמָנָה,almaná,ʔarmala,widow
أَرْنَب,ʔarnab,אַרְנָב,arnáv,ʔarnab,rabbit (mammal)
أَزَرَ,ʔazara,עָזַר,'azár,ʔazara,"to strengthen, to support"
أَزَّرَ,ʔazzara,עָזַר,'azár,ʔazara,"to strengthen, to roborate, to support"
أَسَرَ,ʔasara,אָסַר,asár,ʔasar,"to bind, to fetter"
أَسِير,ʔasīr,אָסִיר,asír,ʔasir,"prisoner of war, captive"
أَسْقَى,ʔasqā,הִשְׁקָה,hishká,ʔasqa,to give drink
أَصِيص,ʔaṣīṣ,עָצִיץ,atsíts,ʔaṣiṣ,flowerpot
أَصِيل,ʔaṣīl,אָצִיל,atsíl,ʔaṣil,noble
أَغُسْطُس,ʔaḡusṭus,אוֹגוּסְט,ogúst,ʔaugustus,August (eighth month of the Gregorian calendar)
أَفْعًى,ʔafʕan,אֶפְעֶה,ef'é,ʔapʕaw,viper (venomous snake in the family Viperidae)
أَقَامَ,ʔaqāma,הֵקִים,hekím,ʔaqama,"to set up, to erect"
أَكَلَ,ʔakala,אִכֵּל,ikél,ʔakal,"to eat, to consume (food)"
أَكَلَ,ʔakala,אָכַל,akhál,ʔakal,"to eat, to consume (food)"
أَكَلَ,ʔakala,אֹֽכֶל,ókhel,ʔakala,"to eat, to consume (food)"
أَكَلَ,ʔakala,אֻכַּל,ukál,ʔakal,"to gnaw, to eat away, to abrade, to corrode, to erode; to destroy"
أَكَلَ,ʔakala,אׇכְלָה,okhlá,ʔakal,"to eat, to consume (food)"
أَكَّار,ʔakkār,אִכָּר,ikár,ʔikarum,"farmer, tiller, cultivator of land"
أَكَّلَ,ʔakkala,אֹֽכֶל,ókhel,ʔakala,"to give (something) to eat, to feed"
أَكْل,ʔakl,אֹֽכֶל,ókhel,ʔakil,"food, fodder, feed"
أَلَاسْكَا,ʔalāskā,אָלָסְקָה,aláska,ʔalaska,"Alaska (a state of the United States, formerly a territory)"
أَلِكْسَنْدَرُوس,ʔaliksandarūs,אָלֶכְּסָנְדֶר,aleksánder,ʔaliksandras,"a male given name from Ancient Greek, equivalent to English Alexander"
أَلْبُوم,ʔalbūm,אַלְבּוֹם,albóm,ʔalbu,album
أَلْف,ʔalf,אֶלֶף,élef,ʔalp,thousand
أَلْيَة,ʔalya,אַלְיָה,'alyá,ʔalyat,"fat tail, tail fat"
أَمَاتَ,ʔamāta,הֵמִית,hemít,ʔamata,to cause to die
أَمَة,ʔama,אָמָה,amá,ʔamat,female slave
أَمْس,ʔams,אֶמֶשׁ,émesh,ʔamis,yesterday
أَنَا,ʔana,אֲנִי,aní,ʔanaku,ego
أَنَا,ʔana,אָנֹכִי,anokhí,ʔanaku,I (first person singular subject pronoun)
أَنِمِي,ʔanimī,אָנִימֶה,ánime,ʔanimi,anime (Animated works that originated in Japan)
أَنْتَ,ʔanta,אַתְּ,át,ʔanti,"you, thou (masculine singular subject pronoun)"
أَنْتَ,ʔanta,אַתָּה,atá,ʔanta,"you, thou (masculine singular subject pronoun)"
أَنْتُمْ,ʔantum,אַתֶּם,atém,ʔantum,"you, ye (masculine plural subject pronoun)"
أَنْتُنَّ,ʔantunna,אַתֶּן,atén,ʔantin,"you, ye (feminine plural subject pronoun)"
أَنْتِ,ʔanti,אַתְּ,át,ʔanti,"you, thou (feminine singular subject pronoun)"
أَنْتِ,ʔanti,אַתָּה,atá,ʔanta,"you, thou (feminine singular subject pronoun)"
أَنْف,ʔanf,אַף,af,ʔanp,nose
أَهْلًا,ʔahlan,אַהְלָן,áhlan,ʔahlan,hi
أَوْ,ʔaw,אוֹ,'o,ʔaw,indicates an inclusive disjunction
أَوْرَانِيَا,ʔawrāniyā,אוּרַנְיָה,uránya,ʔurania,"Urania, the Muse of astronomy."
أَيَّل,ʔayyal,אַיָּל,ayál,ʔayal,"stag, hart; deer"
أُتُوبِيس,ʔotobīs,אוֹטוֹבּוּס,ótobus,ʔatabys,bus; autobus
أُخُوَّة,ʔuḵuwwa,אַחֲוָה,akhavá,ʔuxuwa,"brotherhood, fraternity"
أُخْت,ʔuḵt,אָחוֹת,akhót,ʔaxwat,sister
